           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    0.00000E+00    2.50654E-01   -1.46593E-01   -1.01977E-01   -5.82602E-01   -4.01376E-02   -4.50689E-01    8.69811E-01    2.02229E-01   -2.87715E-01   -1.98526E-03    5.75571E-02    1.10238E+00   -2.85592E-01    3.79754E-01   -1.34877E-01   -1.35443E-01
    4.88281E-03    2.49242E-01   -1.45281E-01   -9.10245E-02   -5.94375E-01   -3.66097E-02   -4.02823E-01    8.18461E-01    1.82326E-01   -3.00311E-01   -2.89944E-03    5.56250E-02    1.07575E+00   -2.54260E-01    3.40216E-01   -1.21277E-01   -1.79142E-01
    9.76562E-03    2.45166E-01   -1.41544E-01   -6.04296E-02   -6.26809E-01   -2.69084E-02   -2.69226E-01    6.75004E-01    1.27084E-01   -3.35209E-01   -5.67336E-03    5.02126E-02    1.00098E+00   -1.66610E-01    2.30017E-01   -8.34637E-02   -3.00715E-01
    1.46484E-02    2.38867E-01   -1.35933E-01   -1.65086E-02   -6.71855E-01   -1.34932E-02   -7.77913E-02    4.68981E-01    4.89671E-02   -3.84345E-01   -1.03921E-02    4.23911E-02    8.92312E-01   -4.03531E-02    7.26361E-02   -2.97593E-02   -4.73592E-01
    1.95312E-02    2.30983E-01   -1.29241E-01    3.16996E-02   -7.18007E-01    1.22011E-04    1.31563E-01    2.42672E-01   -3.42005E-02   -4.36186E-01   -1.71687E-02    3.36937E-02    7.70174E-01    9.91608E-02   -9.83373E-02    2.79302E-02   -6.59764E-01
    2.44141E-02    2.22215E-01   -1.22334E-01    7.43344E-02   -7.52742E-01    1.01165E-02    3.15301E-01    4.21969E-02   -1.03005E-01   -4.78170E-01   -2.61082E-02    2.57940E-02    6.56857E-01    2.24266E-01   -2.46279E-01    7.66317E-02   -8.17798E-01
    2.92969E-02    2.13193E-01   -1.15979E-01    1.02787E-01   -7.65175E-01    1.31786E-02    4.35426E-01   -9.21874E-02   -1.40552E-01   -4.99360E-01   -3.72677E-02    2.01540E-02    5.71861E-01    3.10787E-01   -3.39253E-01    1.05046E-01   -9.11583E-01
    3.41797E-02    2.04344E-01   -1.10682E-01    1.11508E-01   -7.48385E-01    7.21676E-03    4.67481E-01   -1.34547E-01   -1.36052E-01   -4.92769E-01   -5.06221E-02    1.77187E-02    5.27821E-01    3.43108E-01   -3.56744E-01    1.05938E-01   -9.17956E-01
    3.90625E-02    1.95822E-01   -1.06591E-01    9.91737E-02   -7.00899E-01   -8.18328E-03    4.05687E-01   -7.87171E-02   -8.71275E-02   -4.56849E-01   -6.60434E-02    1.87182E-02    5.27886E-01    3.17429E-01   -2.93990E-01    7.76782E-02   -8.31605E-01
    4.39453E-02    1.87484E-01   -1.03473E-01    6.89565E-02   -6.27045E-01   -3.16522E-02    2.64147E-01    6.04225E-02   -3.49442E-04   -3.95836E-01   -8.32959E-02    2.26216E-02    5.65103E-01    2.42534E-01   -1.62998E-01    2.45990E-02   -6.66219E-01
